EmployeeID,Timestamp,CommunicationType,Content,KeywordsExtracted,TopicCategory
27,2022-09-10 00:00:00,Chat,feedback resources follow-up client discussion technical deadline meeting,"follow-up, teamwork, project, feedback",Feedback
30,2022-01-26 00:00:00,Email,progress resources deadline technical feedback discussion client meeting,"technical, follow-up, feedback, resources, teamwork",Project Update
46,2020-10-28 00:00:00,Meeting,deadline technical project client progress follow-up,"client, follow-up, deadline, resources",General Query
44,2023-12-09 00:00:00,Chat,feedback deadline progress discussion resources client project,"deadline, client, technical",Project Update
41,2022-11-06 00:00:00,Chat,follow-up client progress meeting technical,"follow-up, deadline, project, client, technical",Technical Discussion
26,2023-10-29 00:00:00,Email,discussion follow-up meeting client deadline project resources technical feedback,"progress, resources, deadline, client, project",Project Update
50,2023-08-14 00:00:00,Email,resources follow-up deadline discussion progress technical,"feedback, technical, teamwork",Feedback
5,2023-08-30 00:00:00,Email,deadline project feedback discussion progress,"technical, feedback, client, resources, project",Feedback
44,2021-10-03 00:00:00,Meeting,feedback project discussion deadline client technical resources,"project, progress, teamwork, feedback",Feedback
19,2022-09-26 00:00:00,Email,deadline follow-up resources progress client discussion project feedback technical,"project, client, follow-up, progress, resources",Technical Discussion
36,2021-01-25 00:00:00,Email,deadline follow-up client progress feedback discussion technical,"progress, follow-up, project, teamwork, feedback",Project Update
13,2020-06-05 00:00:00,Chat,resources meeting follow-up project progress deadline discussion client feedback technical,"feedback, project, progress",General Query
31,2021-06-19 00:00:00,Meeting,technical meeting feedback deadline resources discussion,"progress, client, resources",Technical Discussion
15,2020-10-24 00:00:00,Email,deadline client progress resources project meeting discussion technical feedback,"follow-up, technical, deadline",Technical Discussion
42,2020-12-28 00:00:00,Chat,progress resources technical feedback discussion project client follow-up deadline,"deadline, client, technical",General Query
49,2021-12-23 00:00:00,Chat,progress deadline client resources discussion project meeting,"feedback, client, follow-up, deadline, technical",General Query
39,2023-08-16 00:00:00,Chat,meeting progress discussion follow-up project technical deadline,"feedback, client, deadline, progress",Technical Discussion
29,2020-01-18 00:00:00,Chat,progress meeting deadline resources project feedback client technical follow-up,"resources, follow-up, feedback",Technical Discussion
15,2021-07-27 00:00:00,Email,deadline resources meeting discussion progress client,"teamwork, feedback, follow-up",Technical Discussion
38,2020-01-21 00:00:00,Meeting,client feedback project meeting discussion follow-up deadline resources technical,"progress, technical, resources, deadline, client",Project Update
1,2023-01-28 00:00:00,Meeting,resources progress discussion project meeting deadline,"feedback, resources, deadline, follow-up",Feedback
13,2021-02-20 00:00:00,Meeting,meeting project follow-up feedback technical discussion,"resources, project, progress",Technical Discussion
19,2022-10-17 00:00:00,Email,meeting progress feedback technical follow-up project client discussion resources,"client, teamwork, technical, deadline, project",Technical Discussion
14,2023-05-13 00:00:00,Meeting,client meeting feedback technical project deadline discussion,"progress, client, project, technical",Technical Discussion
26,2021-07-30 00:00:00,Chat,meeting technical feedback resources deadline client follow-up progress discussion project,"progress, teamwork, feedback, project",Technical Discussion
27,2022-07-22 00:00:00,Meeting,meeting discussion deadline technical project client follow-up,"deadline, progress, project, teamwork",Feedback
13,2020-03-17 00:00:00,Meeting,project resources technical follow-up client deadline progress discussion meeting feedback,"deadline, client, progress",General Query
17,2020-02-06 00:00:00,Meeting,project feedback progress meeting resources discussion deadline follow-up client technical,"follow-up, technical, client",Project Update
27,2020-11-16 00:00:00,Meeting,feedback technical discussion resources deadline project,"client, project, deadline",Technical Discussion
19,2021-07-04 00:00:00,Email,technical project follow-up deadline progress discussion resources client,"technical, project, teamwork, follow-up",Project Update
4,2021-01-04 00:00:00,Email,resources discussion project client progress meeting deadline feedback technical follow-up,"teamwork, progress, feedback, deadline, technical",Project Update
6,2021-11-09 00:00:00,Meeting,resources progress project follow-up discussion,"project, technical, follow-up, feedback",Project Update
19,2021-11-18 00:00:00,Meeting,meeting resources deadline project client feedback follow-up,"client, teamwork, deadline",Feedback
31,2020-09-01 00:00:00,Meeting,technical meeting project deadline progress follow-up discussion client resources,"project, teamwork, feedback, progress",Feedback
19,2020-03-09 00:00:00,Chat,discussion resources technical deadline meeting client feedback,"client, deadline, project, teamwork",General Query
38,2022-04-03 00:00:00,Chat,discussion progress deadline project feedback client resources technical,"progress, project, deadline, client",Project Update
23,2021-02-04 00:00:00,Email,technical project resources progress client discussion follow-up feedback deadline,"technical, feedback, client, follow-up",Technical Discussion
40,2023-04-12 00:00:00,Chat,project progress deadline feedback client discussion,"technical, follow-up, teamwork, progress, client",General Query
35,2022-03-13 00:00:00,Chat,progress technical follow-up project discussion resources,"technical, follow-up, progress, feedback, teamwork",General Query
39,2022-09-05 00:00:00,Meeting,resources feedback discussion project client progress technical deadline,"teamwork, technical, project, client, resources",Project Update
18,2020-08-16 00:00:00,Meeting,deadline meeting progress project follow-up feedback discussion client technical,"client, resources, project",Project Update
40,2020-10-07 00:00:00,Chat,follow-up discussion technical project deadline progress client resources meeting,"project, deadline, technical",General Query
25,2021-12-26 00:00:00,Chat,resources client deadline project meeting feedback discussion,"teamwork, deadline, client, progress",Technical Discussion
38,2022-04-30 00:00:00,Email,deadline client technical resources meeting follow-up feedback,"client, teamwork, resources",General Query
47,2020-08-14 00:00:00,Chat,discussion technical client follow-up meeting progress,"follow-up, resources, progress, teamwork, project",Project Update
50,2022-05-25 00:00:00,Email,client resources technical discussion meeting deadline follow-up project progress,"feedback, technical, progress, deadline",Technical Discussion
30,2022-07-24 00:00:00,Chat,client technical follow-up meeting project feedback discussion deadline progress,"progress, deadline, teamwork",Technical Discussion
22,2020-03-14 00:00:00,Meeting,client technical feedback resources deadline progress meeting discussion follow-up project,"teamwork, project, feedback, resources, client",Feedback
35,2021-10-03 00:00:00,Chat,client resources discussion technical meeting deadline project feedback progress follow-up,"client, teamwork, resources",Feedback
29,2023-03-31 00:00:00,Meeting,progress resources client deadline project technical,"technical, client, progress, feedback, teamwork",General Query
42,2023-08-06 00:00:00,Email,deadline meeting project follow-up technical discussion client resources feedback progress,"resources, project, progress, teamwork, deadline",Project Update
37,2023-09-10 00:00:00,Chat,follow-up resources progress client technical feedback project meeting deadline discussion,"follow-up, resources, project, technical",General Query
16,2023-05-14 00:00:00,Chat,deadline progress follow-up technical discussion feedback,"feedback, teamwork, technical, project, resources",Project Update
16,2020-04-17 00:00:00,Chat,deadline meeting client discussion technical progress project,"client, follow-up, feedback, teamwork",Feedback
31,2023-07-30 00:00:00,Chat,progress project client follow-up deadline,"teamwork, technical, feedback, client, follow-up",General Query
10,2023-04-14 00:00:00,Chat,follow-up deadline technical feedback project progress client,"feedback, deadline, follow-up, progress, resources",Technical Discussion
32,2023-03-01 00:00:00,Email,project client meeting resources discussion deadline feedback progress follow-up technical,"teamwork, feedback, project",Project Update
10,2020-06-07 00:00:00,Email,technical deadline meeting follow-up feedback project client,"follow-up, deadline, feedback, client",Technical Discussion
13,2020-05-01 00:00:00,Meeting,feedback technical project progress meeting resources discussion follow-up deadline client,"deadline, feedback, project, follow-up, client",Project Update
33,2023-10-30 00:00:00,Meeting,project resources deadline client technical progress discussion,"progress, client, project, technical, follow-up",General Query
4,2021-07-24 00:00:00,Email,feedback follow-up technical project progress meeting deadline discussion client resources,"resources, client, progress",Technical Discussion
4,2020-06-01 00:00:00,Chat,project follow-up client resources discussion progress meeting,"follow-up, project, deadline, progress, technical",Project Update
33,2020-11-29 00:00:00,Meeting,discussion technical project client follow-up resources,"project, feedback, resources, progress, deadline",Feedback
33,2020-07-04 00:00:00,Meeting,meeting resources feedback discussion progress project client deadline technical follow-up,"project, client, technical, feedback, follow-up",Technical Discussion
49,2022-10-09 00:00:00,Chat,meeting feedback deadline follow-up project client progress technical discussion resources,"feedback, teamwork, technical, progress",Technical Discussion
20,2021-03-15 00:00:00,Meeting,resources meeting discussion client deadline project,"client, resources, teamwork",Project Update
39,2023-01-24 00:00:00,Meeting,progress meeting deadline technical project follow-up feedback,"follow-up, client, technical",Technical Discussion
44,2022-05-16 00:00:00,Email,project meeting client follow-up progress feedback deadline technical resources,"feedback, teamwork, technical, resources, deadline",Project Update
31,2022-08-06 00:00:00,Meeting,progress feedback project resources discussion follow-up meeting deadline,"teamwork, technical, progress",Project Update
24,2023-03-31 00:00:00,Chat,meeting client discussion project follow-up progress,"follow-up, project, client, resources",General Query
16,2023-09-01 00:00:00,Chat,meeting resources project progress deadline discussion client,"progress, resources, teamwork, follow-up",Project Update
7,2021-06-27 00:00:00,Email,project client follow-up discussion feedback,"teamwork, resources, progress, follow-up",General Query
8,2022-10-03 00:00:00,Chat,project resources meeting client feedback technical progress follow-up,"follow-up, teamwork, resources, progress, client",Project Update
35,2022-10-20 00:00:00,Chat,technical feedback progress deadline meeting follow-up,"follow-up, client, project, resources, deadline",Project Update
21,2023-07-09 00:00:00,Chat,meeting resources technical deadline follow-up client,"project, feedback, deadline",Feedback
17,2023-03-21 00:00:00,Email,follow-up feedback technical meeting progress discussion project client,"technical, progress, teamwork",Project Update
16,2022-04-24 00:00:00,Email,meeting client project discussion deadline feedback progress follow-up resources,"client, progress, project, deadline",Project Update
31,2022-02-08 00:00:00,Chat,meeting client follow-up deadline project feedback technical resources discussion progress,"follow-up, teamwork, deadline, progress, project",Feedback
27,2021-07-03 00:00:00,Email,resources feedback discussion follow-up client meeting project progress technical deadline,"feedback, resources, teamwork",Technical Discussion
44,2022-05-07 00:00:00,Email,discussion feedback deadline technical follow-up meeting project progress resources,"technical, client, teamwork, follow-up, resources",Feedback
40,2021-09-06 00:00:00,Chat,deadline follow-up technical client resources progress,"follow-up, client, deadline",Technical Discussion
48,2021-09-18 00:00:00,Meeting,discussion technical follow-up meeting feedback project deadline,"progress, feedback, client, technical, deadline",Feedback
18,2022-06-18 00:00:00,Meeting,client technical meeting follow-up discussion,"client, resources, feedback, deadline",General Query
36,2023-10-12 00:00:00,Email,meeting client project discussion deadline progress feedback,"resources, teamwork, feedback",Feedback
33,2023-07-25 00:00:00,Chat,deadline resources discussion meeting feedback technical follow-up,"technical, teamwork, follow-up",Technical Discussion
46,2022-07-29 00:00:00,Meeting,discussion follow-up project meeting client deadline feedback progress resources technical,"feedback, technical, resources",Technical Discussion
